participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.random_treatment_ids,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.participation_fee,session.params,informed_consent.1.player.id_in_group,informed_consent.1.player.role,informed_consent.1.player.payoff,informed_consent.1.player.consent_given,informed_consent.1.group.id_in_subsession,informed_consent.1.subsession.round_number,demographics.1.player.id_in_group,demographics.1.player.role,demographics.1.player.payoff,demographics.1.player.age,demographics.1.player.gender,demographics.1.player.highest_education,demographics.1.player.country,demographics.1.player.workexperience,demographics.1.group.id_in_subsession,demographics.1.subsession.round_number,instructions_trust.1.player.id_in_group,instructions_trust.1.player.role,instructions_trust.1.player.payoff,instructions_trust.1.player.instruction_q1,instructions_trust.1.player.instruction_q2,instructions_trust.1.player.instruction_q3,instructions_trust.1.player.instruction_q4,instructions_trust.1.group.id_in_subsession,instructions_trust.1.subsession.round_number,trust.1.player.id_in_group,trust.1.player.role,trust.1.player.payoff,trust.1.player.control,trust.1.group.id_in_subsession,trust.1.group.minimum_amount,trust.1.group.chosen_effort,trust.1.group.chosen_effort_min5,trust.1.group.chosen_effort_min10,trust.1.group.chosen_effort_min20,trust.1.subsession.round_number,feedback.1.player.id_in_group,feedback.1.player.role,feedback.1.player.payoff,feedback.1.player.feedback_text,feedback.1.group.id_in_subsession,feedback.1.subsession.round_number,payment_info.1.player.id_in_group,payment_info.1.player.role,payment_info.1.player.payoff,payment_info.1.group.id_in_subsession,payment_info.1.subsession.round_number,instructions_sliders.1.player.id_in_group,instructions_sliders.1.player.role,instructions_sliders.1.player.payoff,instructions_sliders.1.player.instruction_q1,instructions_sliders.1.player.instruction_q2,instructions_sliders.1.player.instruction_q3,instructions_sliders.1.group.id_in_subsession,instructions_sliders.1.subsession.round_number,sliders.1.player.id_in_group,sliders.1.player.role,sliders.1.player.payoff,sliders.1.player.iteration,sliders.1.player.num_correct,sliders.1.player.control,sliders.1.group.id_in_subsession,sliders.1.group.minimum_amount,sliders.1.group.chosen_effort,sliders.1.subsession.round_number
1,n82jiw8c,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:35:10.015782,1,,,116.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,1,,0.0,1,1,1,1,,0.0,25-34,Male,Bachelors Degree,Austria,4,1,1,1,,0.0,No,No,22,80,1,1,1,,116.0,20,2,No,58.0,,,55.0,1,1,,0.0,,1,1,1,,0.0,1,1,,,,,,,,,,,,,,,,,,
2,yerw6e1l,,0,11,13,trust,Results,2023-01-11 08:35:12.379148,1,,,40.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,2,,0.0,1,1,1,2,,0.0,18-24,Female,Bachelors Degree,Austria,5,1,1,2,,0.0,No,Yes,11,80,1,1,1,,40.0,20,4,Yes,40.0,,,20.0,1,2,,0.0,,1,1,2,,0.0,1,1,,,,,,,,,,,,,,,,,,
3,o9k4vlrw,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:35:15.224881,1,,,62.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,3,,0.0,1,1,1,3,,0.0,18-24,Female,Bachelors Degree,Austria,3,1,1,3,,0.0,No,No,11,80,1,1,2,,62.0,20,2,No,58.0,,,55.0,1,3,,0.0,,1,1,3,,0.0,1,1,,,,,,,,,,,,,,,,,,
4,wboq7tsc,,0,4,13,trust,StartWaitPage,2023-01-11 08:35:23.794661,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,4,,0.0,1,1,1,4,,0.0,18-24,Female,Bachelors Degree,Austria,3,1,1,4,,0.0,Yes,No,10,80,1,1,4,,0.0,20,1,,,,,,1,4,,0.0,,1,1,4,,0.0,1,1,,,,,,,,,,,,,,,,,,
5,iluhsmtb,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:36.230452,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,5,,0.0,1,1,1,5,,0.0,18-24,Female,Bachelors Degree,Austria,4,1,1,5,,0.0,No,No,11,80,1,1,1,,0.0,20,13,No,0.0,,,20.0,1,5,,0.0,,1,1,5,,0.0,1,1,,,,,,,,,,,,,,,,,,
6,pqmdqj2v,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:36.755433,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,6,,0.0,1,1,1,6,,0.0,18-24,Male,Bachelors Degree,Austria,3,1,1,6,,0.0,No,No,11,80,1,1,2,,100.0,20,4,Yes,40.0,,,20.0,1,6,,0.0,,1,1,6,,0.0,1,1,,,,,,,,,,,,,,,,,,
7,qd06m7gh,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:37.453026,1,,,42.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,7,,0.0,1,1,1,7,,0.0,Prefer not to say,Male,Bachelors Degree,Antigua &amp; Barbuda,8,1,1,7,,0.0,Yes,No,22,40,1,1,1,,42.0,20,5,No,21.0,,,20.0,1,7,,0.0,-,1,1,7,,0.0,1,1,,,,,,,,,,,,,,,,,,
8,l3dwmnfk,,0,11,13,trust,Results,2023-01-11 08:45:37.614081,1,,,120.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,8,,0.0,1,1,1,8,,0.0,18-24,Female,Bachelors Degree,Austria,8,1,1,8,,0.0,No,No,11,40,1,1,1,,120.0,20,12,Yes,60.0,,,60.0,1,8,,0.0,,1,1,8,,0.0,1,1,,,,,,,,,,,,,,,,,,
9,0bs9bd26,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:38.064150,1,,,80.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,9,,0.0,1,1,1,9,,0.0,Prefer not to say,Male,Masters Degree,Austria,5,1,1,9,,0.0,Yes,Yes,10,40,1,1,1,,80.0,20,7,Yes,40.0,,,40.0,1,9,,0.0,,1,1,9,,0.0,1,1,,,,,,,,,,,,,,,,,,
10,ustrrlya,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:37.801036,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,10,,0.0,1,1,1,10,,0.0,18-24,Male,Bachelors Degree,Austria,4,1,1,10,,0.0,No,Yes,22,80,1,1,1,,0.0,20,10,No,0.0,,,20.0,1,10,,0.0,,1,1,10,,0.0,1,1,,,,,,,,,,,,,,,,,,
11,3xldblv7,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:38.374352,1,,,40.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,11,,0.0,1,1,1,11,,0.0,25-34,Male,Bachelors Degree,Austria,7,1,1,11,,0.0,Yes,Yes,22,80,1,1,1,,40.0,20,3,No,20.0,,,21.0,1,11,,0.0,,1,1,11,,0.0,1,1,,,,,,,,,,,,,,,,,,
12,73q9hnfs,,0,1,13,informed_consent,informed_consent,2023-01-11 08:45:40.076043,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,12,,0.0,,1,1,12,,0.0,,,,,,1,1,12,,0.0,,,,,1,1,12,,0.0,20,1,,,,,,1,12,,0.0,,1,1,12,,0.0,1,1,,,,,,,,,,,,,,,,,,
13,gy96lalw,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:39.362415,1,,,80.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,13,,0.0,1,1,1,13,,0.0,18-24,Male,Bachelors Degree,Austria,3,1,1,13,,0.0,No,No,22,80,1,1,1,,80.0,20,9,No,40.0,,,40.0,1,13,,0.0,,1,1,13,,0.0,1,1,,,,,,,,,,,,,,,,,,
14,jzgpl2g4,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:39.443785,1,,,80.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,14,,0.0,1,1,1,14,,0.0,18-24,Male,Bachelors Degree,Austria,7,1,1,14,,0.0,No,No,44,80,1,1,2,,80.0,20,9,No,40.0,,,40.0,1,14,,0.0,,1,1,14,,0.0,1,1,,,,,,,,,,,,,,,,,,
15,zrf57dko,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:39.484607,1,,,120.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,15,,0.0,1,1,1,15,,0.0,25-34,Female,Bachelors Degree,Austria,6,1,1,15,,0.0,No,No,22,40,1,1,2,,120.0,20,10,No,0.0,,,20.0,1,15,,0.0,,1,1,15,,0.0,1,1,,,,,,,,,,,,,,,,,,
16,7789wbh9,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:41.904142,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,16,,0.0,1,1,1,16,,0.0,18-24,Male,Bachelors Degree,Austria,3,1,1,16,,0.0,No,No,22,80,1,1,2,,100.0,20,3,No,20.0,,,21.0,1,16,,0.0,,1,1,16,,0.0,1,1,,,,,,,,,,,,,,,,,,
17,zpnilk6a,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:43.197671,1,,,80.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,17,,0.0,1,1,1,17,,0.0,25-34,Male,Bachelors Degree,Austria,7,1,1,17,,0.0,No,No,22,80,1,1,2,,80.0,20,7,Yes,40.0,,,40.0,1,17,,0.0,,1,1,17,,0.0,1,1,,,,,,,,,,,,,,,,,,
18,350zxl65,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:44.490794,1,,,40.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,18,,0.0,1,1,1,18,,0.0,18-24,Female,Bachelors Degree,Belgium,4,1,1,18,,0.0,No,No,11,80,1,1,1,,40.0,20,17,Yes,0.0,,,20.0,1,18,,0.0,,1,1,18,,0.0,1,1,,,,,,,,,,,,,,,,,,
19,8v7351cx,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:49.376243,1,,,40.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,19,,0.0,1,1,1,19,,0.0,25-34,Male,Bachelors Degree,Austria,7,1,1,19,,0.0,Yes,No,11,80,1,1,1,,40.0,20,6,Yes,0.0,,,20.0,1,19,,0.0,,1,1,19,,0.0,1,1,,,,,,,,,,,,,,,,,,
20,8gb2d0yq,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:45:54.280612,1,,,99.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,20,,0.0,1,1,1,20,,0.0,25-34,Female,Bachelors Degree,Austria,5,1,1,20,,0.0,No,No,22,80,1,1,2,,99.0,20,5,No,21.0,,,20.0,1,20,,0.0,,1,1,20,,0.0,1,1,,,,,,,,,,,,,,,,,,
21,qqou3mpy,,0,1,13,informed_consent,informed_consent,2023-01-11 08:45:56.742772,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,21,,0.0,,1,1,21,,0.0,,,,,,1,1,21,,0.0,,,,,1,1,21,,0.0,20,1,,,,,,1,21,,0.0,,1,1,21,,0.0,1,1,,,,,,,,,,,,,,,,,,
22,nop6d8ac,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:09.613562,1,,,60.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,22,,0.0,1,1,1,22,,0.0,25-34,Male,Bachelors Degree,Austria,4,1,1,22,,0.0,No,Yes,22,80,1,1,1,,60.0,20,14,No,30.0,,,20.0,1,22,,0.0,Examples prime my decision ,1,1,22,,0.0,1,1,,,,,,,,,,,,,,,,,,
23,u65bvva4,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:16.753164,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,23,,0.0,1,1,1,23,,0.0,18-24,Female,Bachelors Degree,Hungary,5,1,1,23,,0.0,No,No,11,160,1,1,2,,100.0,20,17,Yes,0.0,,,20.0,1,23,,0.0,,1,1,23,,0.0,1,1,,,,,,,,,,,,,,,,,,
24,kaz8wlba,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:17.176261,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,24,,0.0,1,1,1,24,,0.0,18-24,Male,Bachelors Degree,Austria,7,1,1,24,,0.0,No,Yes,22,80,1,1,2,,100.0,20,6,Yes,0.0,,,20.0,1,24,,0.0,give chocolate to participants :)))),1,1,24,,0.0,1,1,,,,,,,,,,,,,,,,,,
25,2vp7to07,,0,1,13,informed_consent,informed_consent,2023-01-11 08:46:36.282387,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,25,,0.0,,1,1,25,,0.0,,,,,,1,1,25,,0.0,,,,,1,1,25,,0.0,20,1,,,,,,1,25,,0.0,,1,1,25,,0.0,1,1,,,,,,,,,,,,,,,,,,
26,zu5kklbu,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:37.935923,1,,,60.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,26,,0.0,1,1,1,26,,0.0,25-34,Male,Bachelors Degree,Austria,5,1,1,26,,0.0,No,No,22,80,1,1,1,,60.0,20,18,No,30.0,,,30.0,1,26,,0.0,,1,1,26,,0.0,1,1,,,,,,,,,,,,,,,,,,
27,022cmvi3,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:39.254083,1,,,40.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,27,,0.0,1,1,1,27,,0.0,18-24,Male,Bachelors Degree,Austria,3,1,1,27,,0.0,No,No,22,80,1,1,1,,40.0,20,15,Yes,30.0,,,20.0,1,27,,0.0,,1,1,27,,0.0,1,1,,,,,,,,,,,,,,,,,,
28,qz4l785q,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:52.481362,1,,,60.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,28,,0.0,1,1,1,28,,0.0,25-34,Male,Bachelors Degree,Austria,5,1,1,28,,0.0,No,No,22,80,1,1,2,,60.0,20,12,Yes,60.0,,,60.0,1,28,,0.0,,1,1,28,,0.0,1,1,,,,,,,,,,,,,,,,,,
29,7cqczei2,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:53.569520,1,,,42.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,29,,0.0,1,1,1,29,,0.0,18-24,Female,Bachelors Degree,Austria,3,1,1,29,,0.0,No,Yes,11,80,1,1,1,,42.0,20,16,Yes,50.0,,,21.0,1,29,,0.0,,1,1,29,,0.0,1,1,,,,,,,,,,,,,,,,,,
30,jdgzq5ug,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:53.549683,1,,,99.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,30,,0.0,1,1,1,30,,0.0,18-24,Male,Bachelors Degree,Austria,3,1,1,30,,0.0,Yes,No,22,80,1,1,2,,99.0,20,16,Yes,50.0,,,21.0,1,30,,0.0,No,1,1,30,,0.0,1,1,,,,,,,,,,,,,,,,,,
31,weeuvcy7,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:54.541226,1,,,40.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,31,,0.0,1,1,1,31,,0.0,18-24,Female,Bachelors Degree,Austria,3,1,1,31,,0.0,No,Yes,22,80,1,1,1,,40.0,20,11,No,20.0,,,20.0,1,31,,0.0,,1,1,31,,0.0,1,1,,,,,,,,,,,,,,,,,,
32,4ustbcts,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:55.382850,1,,,90.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,32,,0.0,1,1,1,32,,0.0,25-34,Male,Bachelors Degree,Austria,6,1,1,32,,0.0,No,No,22,80,1,1,2,,90.0,20,14,No,30.0,,,20.0,1,32,,0.0,,1,1,32,,0.0,1,1,,,,,,,,,,,,,,,,,,
33,bmk4aoyy,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:46:55.767540,1,,,120.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,33,,0.0,1,1,1,33,,0.0,25-34,Male,Masters Degree,Austria,7,1,1,33,,0.0,No,No,22,80,1,1,2,,120.0,20,13,No,0.0,,,20.0,1,33,,0.0,,1,1,33,,0.0,1,1,,,,,,,,,,,,,,,,,,
34,ayb3ej5t,,0,11,13,trust,Results,2023-01-11 08:47:03.321421,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,34,,0.0,1,1,1,34,,0.0,18-24,Male,Bachelors Degree,Austria,3,1,1,34,,0.0,No,No,11,80,1,1,1,,100.0,20,8,No,50.0,,,20.0,1,34,,0.0,,1,1,34,,0.0,1,1,,,,,,,,,,,,,,,,,,
35,4bph0i76,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:47:03.537021,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,35,,0.0,1,1,1,35,,0.0,Prefer not to say,Female,Ph.D. or higher,Austria,7,1,1,35,,0.0,Yes,No,11,80,1,1,2,,100.0,20,11,No,20.0,,,20.0,1,35,,0.0,,1,1,35,,0.0,1,1,,,,,,,,,,,,,,,,,,
36,w47h929x,,0,1,13,informed_consent,informed_consent,2023-01-11 08:47:05.656160,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,36,,0.0,,1,1,36,,0.0,,,,,,1,1,36,,0.0,,,,,1,1,36,,0.0,20,1,,,,,,1,36,,0.0,,1,1,36,,0.0,1,1,,,,,,,,,,,,,,,,,,
37,bffpsm59,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:47:05.056142,1,,,70.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,37,,0.0,1,1,1,37,,0.0,18-24,Female,Bachelors Degree,Austria,1,1,1,37,,0.0,No,Yes,11,80,1,1,2,,70.0,20,8,No,50.0,,,20.0,1,37,,0.0,,1,1,37,,0.0,1,1,,,,,,,,,,,,,,,,,,
38,ojtabgo8,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:47:09.466066,1,,,100.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,38,,0.0,1,1,1,38,,0.0,18-24,Male,Bachelors Degree,Austria,4,1,1,38,,0.0,No,Yes,22,80,1,1,2,,100.0,20,15,Yes,30.0,,,20.0,1,38,,0.0,,1,1,38,,0.0,1,1,,,,,,,,,,,,,,,,,,
39,d6khpymc,,0,13,13,payment_info,PaymentInfo,2023-01-11 08:48:29.136894,1,,,90.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,39,,0.0,1,1,1,39,,0.0,25-34,Female,Bachelors Degree,Austria,7,1,1,39,,0.0,No,No,22,80,1,1,2,,90.0,20,18,No,30.0,,,30.0,1,39,,0.0,Please provide an 'Other' (or at least 'Prefer not to say') option when choosing 'Gender'.,1,1,39,,0.0,1,1,,,,,,,,,,,,,,,,,,
40,adshgsz0,,0,0,13,,,,1,,,0.0,,xfg6s7su,,,,,0,trust,0.01,0.25,,40,,0.0,,1,1,40,,0.0,,,,,,1,1,40,,0.0,,,,,1,1,40,,0.0,20,1,,,,,,1,40,,0.0,,1,1,40,,0.0,1,1,,,,,,,,,,,,,,,,,,
